위스키명,브랜드,구매가능,신라면세가_USD,신라700ml환산_USD,HK_USD,JP_USD,TW_USD,해외최저_USD,해외중앙_USD,해외최고_USD,매칭지역수,신뢰도,가격매력도_vs최저_%,가격매력도_vs중앙_%,종합매력도,라이브할인율,비고,상품URL
폴 존 피티드 1000ml,폴 존,Y,42.0,29.4,,,,,,,0,,,,40.7,58.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5311922
벤리악 Quarter Cask Peated 1000ml,벤리악,Y,34.3,24.0,,,,,,,0,,,,40.6,51.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5303575
히노토리 골드오락(그랜다이저) 피트 위스키 700ml,히노토리,Y,45.1,45.1,,,,,,,0,,,,40.4,57.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5392882
PAUL JOHN PEATED 올로로소 700ml,폴 존,Y,123.8,123.8,,,,,,,0,,,,40.3,55.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5461900
컴파스 박스 Peat Monster 700ml,컴파스 박스,Y,32.3,32.3,,,,,,,0,,,,39.5,58.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5229030
밀크앤허니 엘리먼츠 피티드 캐스크 700ml,밀크앤허니,Y,37.8,37.8,,,,,,,0,,,,38.4,64.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5248992
마츠이 피트 700ml,마츠이,Y,52.2,52.2,,,,,,,0,,,,38.2,45.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5157351
엘리먼츠오브아일라 버번캐스크 700ml,엘리먼츠 오브 아일라,Y,46.9,46.9,,,,,,,0,,,,38.2,57.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5372478
더 아일라 보이즈 베어렉스 배틀 엑스 아일라 700ml,더 아일라 보이즈,Y,33.5,33.5,,,,,,,0,,,,37.9,57.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5232740
엘리먼츠오브아일라 아이러브아일라 500ml,엘리먼츠 오브 아일라,Y,31.9,44.6,,,,,,,0,,,,37.7,46.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5372476
아드벡 언 오 1000ml,아드벡,Y,65.6,45.9,,,,,,,0,,,,31.0,20.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5388184
로얄살루트 21년 Peated Blend 700ml,로얄살루트,Y,190.0,190.0,,,,,,,0,,,,28.4,5.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5081231
브룩라디 옥토모어 15.1 700ml,브룩라디,Y,167.0,167.0,,,,,,,0,,,,23.5,0.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5611045
옥토모어 14.3 700ml,브룩라디,Y,230.0,230.0,,,,,,,0,,,,22.5,0.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5900471
옥토모어 16.1 700ml,브룩라디,Y,167.0,167.0,,,,,,,0,,,,21.9,0.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5900472
옥토모어 16.3 700ml,브룩라디,Y,230.0,230.0,,,,,,,0,,,,21.5,0.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5934209
옥토모어 14.2 700ml,브룩라디,Y,190.0,190.0,,,,,,,0,,,,20.6,0.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5900470
라프로익 PX Cask 1000ml,라프로익,Y,114.0,79.8,,,,,,,0,,,,20.3,5.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/3333183
옥토모어 16.2 700ml,브룩라디,Y,190.0,190.0,,,,,,,0,,,,19.9,0.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5934208
더글라스랭 BIG PEAT 12년 700ml,더글라스랭,Y,70.3,70.3,,,,,,,0,,,,19.1,5.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5228863
라프로익 포트우드 2023 700ml,라프로익,Y,167.2,167.2,,,,,,,0,,,,17.5,5.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5298064
엘리먼츠오브아일라 캐스크에디션 700ml,엘리먼츠 오브 아일라,Y,71.1,71.1,,,,,,,0,,,,16.5,10.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5372477
턴테이블 스모킨 리프 700ml,턴테이블,Y,84.6,84.6,,,,,,,0,,,,15.2,10.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5408660
암룻 PEATED 700ml,암룻,Y,75.0,75.0,,,,,,,0,,,,12.2,5.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5337847
라가불린 10년 700ml,라가불린,N,86.5,86.5,124.3,,,124.3,124.3,124.3,1,HIGH,30.5,30.5,,5.0,동일숙성 매칭 1건/1개지역,https://www.shilladfs.com/estore/kr/ko/p/5704238
아드벡 10년 1000ml,아드벡,N,54.0,37.8,88.0,39.6,44.1,39.6,44.1,88.0,3,HIGH,4.5,14.3,,25.0,동일숙성 매칭 5건/3개지역,https://www.shilladfs.com/estore/kr/ko/p/5070389
보모어 15년 골든앤엘레강트 1000ml,보모어,N,99.8,69.8,192.9,77.8,70.3,70.3,77.8,192.9,3,HIGH,0.7,10.3,,5.0,동일숙성 매칭 7건/3개지역,https://www.shilladfs.com/estore/kr/ko/p/5166833
라가불린 16년 700ml,라가불린,N,115.9,115.9,106.8,71.0,71.7,71.0,71.7,106.8,3,HIGH,-63.2,-61.6,,5.0,동일숙성 매칭 5건/3개지역,https://www.shilladfs.com/estore/kr/ko/p/5358630
고든앤맥패일 코노세어초이스 쿨일라 2006 17년 700ml,고든 앤 맥패일,N,216.0,216.0,,,,,,,0,,,,,20.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5677236
고든앤맥패일 코노세어초이스 쿨일라 사시까이아 2010 12년 700ml,고든 앤 맥패일,N,194.8,194.8,,,,,,,0,,,,,5.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5677233
라프로익 33년 스트롱캐릭터즈 700ml,라프로익,N,626.4,626.4,,,,,,,0,,,,,42.0,코어 증류소·동일숙성 해외 매칭 0건,https://www.shilladfs.com/estore/kr/ko/p/5513344
브룩라디 Port Charlotte 10년 1000ml,브룩라디,N,109.2,76.5,,,,,,,0,,,,,5.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5208379
브룩라디 옥토모어 14.1 700ml,브룩라디,N,163.0,163.0,,,,,,,0,,,,,0.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5310713
아드벡 스모크트레일즈 배치3 1000ml,아드벡,N,71.2,49.9,,,,,,,0,,,,,25.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5867964
아드벡 우거다일 700ml,아드벡,N,68.2,68.2,,,,,,,0,,,,,25.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5713333
아드벡 코리브레칸 700ml,아드벡,N,83.2,83.2,,,,,,,0,,,,,25.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5786504
엘리먼츠오브아일라 쉐리캐스크 700ml,엘리먼츠 오브 아일라,N,107.1,107.1,,,,,,,0,,,,,10.0,비교제외: 표준 표현 매칭 불가(NAS/버전/한정/인디),https://www.shilladfs.com/estore/kr/ko/p/5372479
